date,type,campaign,ad_group,keyword,device,product_id,title,category,region,impressions,clicks,add_to_cart,purchases,revenue,ad_spend,roas,avg_rating,reviews_count,avg_cpc,avg_cpm,quality_score
2025-11-16,shopping,Shopping - Accessories,Casual Belt,,Mobile,P119,Casual Belt,Accessories,Delhi,9655,396,248,21,36939,2920.54,12.65,3.52,511.0,,,
2025-12-01,shopping,Shopping - Apparel,Cotton T-Shirt,,Desktop,P100,Cotton T-Shirt,Apparel,Mumbai,2592,14,31,0,0,782.8,0.0,3.58,467.0,,,
2025-11-20,search,Search - Generic,Search Ads,buy wireless earbuds,Mobile,,,,Bangalore,9200,333,0,1,636,825.84,0.77,,,2.48,89.77,4.0
2025-12-01,search,Search - Generic,Search Ads,buy women's jackets,Tablet,,,,Mumbai,6390,316,0,4,10828,63.2,171.33,,,0.2,9.89,9.0
2025-12-02,search,Search - Generic,Search Ads,buy kids sneakers,Desktop,,,,Bangalore,9957,374,0,6,20130,564.74,35.64,,,1.51,56.72,7.0
2025-11-20,shopping,Shopping - Apparel,Yoga Pants,,Mobile,P105,Yoga Pants,Apparel,Chennai,1504,41,33,1,642,452.1,1.42,3.34,414.0,,,
2025-12-01,shopping,Shopping - Footwear,Leather Boots,,Desktop,P106,Leather Boots,Footwear,Hyderabad,4995,100,63,3,7110,325.13,21.87,4.45,433.0,,,
2025-11-19,shopping,Shopping - Accessories,Casual Belt,,Mobile,P119,Casual Belt,Accessories,Mumbai,4157,128,99,0,0,962.97,0.0,3.57,416.0,,,
2025-11-12,search,Search - Generic,Search Ads,buy men's jackets,Tablet,,,,Mumbai,5871,272,0,9,2817,448.8,6.28,,,1.65,76.44,6.0
2025-11-13,shopping,Shopping - Apparel,Cotton T-Shirt,,Desktop,P100,Cotton T-Shirt,Apparel,Delhi,7634,401,131,0,0,1601.14,0.0,3.47,23.0,,,
2025-11-11,search,Search - Generic,Search Ads,buy bluetooth headset,Mobile,,,,Chennai,3246,263,0,8,16000,60.49,264.51,,,0.23,18.64,8.0
2025-11-20,search,Search - Generic,Search Ads,buy baby clothes,Mobile,,,,Hyderabad,4620,186,0,6,15534,386.88,40.15,,,2.08,83.74,9.0
2025-11-29,search,Search - Generic,Search Ads,buy travel backpack,Desktop,,,,Delhi,1573,75,0,1,2153,170.25,12.65,,,2.27,108.23,5.0
2025-11-08,shopping,Shopping - Footwear,Running Shoes,,Mobile,P101,Running Shoes,Footwear,Delhi,7131,186,0,1,1853,2584.58,0.72,3.79,401.0,,,
2025-11-30,shopping,Shopping - Accessories,Digital Watch,,Mobile,P102,Digital Watch,Accessories,Hyderabad,9947,445,145,32,75616,3916.06,19.31,4.47,459.0,,,
2025-11-19,search,Search - Generic,Search Ads,buy rucksack,Desktop,,,,Hyderabad,3748,124,0,3,8859,120.28,73.65,,,0.97,32.09,4.0
2025-11-16,search,Search - Generic,Search Ads,buy t shirt,Desktop,,,,Hyderabad,8697,233,0,0,0,107.18,0.0,,,0.46,12.32,6.0
2025-11-12,search,Search - Generic,Search Ads,buy kids jackets,Mobile,,,,Mumbai,8419,339,0,11,16753,352.56,47.52,,,1.04,41.88,8.0
2025-11-11,search,Search - Generic,Search Ads,buy sports shoes,Desktop,,,,Mumbai,10154,330,0,6,7740,356.4,21.72,,,1.08,35.1,5.0
2025-11-21,search,Search - Generic,Search Ads,buy sunglasses,Tablet,,,,Bangalore,5692,235,0,2,1034,336.05,3.08,,,1.43,59.04,3.0
2025-11-27,search,Search - Generic,Search Ads,buy winter gloves,Desktop,,,,Chennai,3616,118,0,0,0,125.08,0.0,,,1.06,34.59,3.0
2025-11-24,search,Search - Generic,Search Ads,buy phone case,Desktop,,,,Bangalore,7625,435,0,5,15345,539.4,28.45,,,1.24,70.74,8.0
2025-11-22,shopping,Shopping - Footwear,Leather Boots,,Desktop,P106,Leather Boots,Footwear,Chennai,5781,156,112,10,14720,2540.3,5.79,4.71,384.0,,,
2025-11-22,search,Search - Generic,Search Ads,buy casual belt,Tablet,,,,Delhi,3071,57,0,1,2929,116.28,25.19,,,2.04,37.86,3.0
2025-11-15,shopping,Shopping - Accessories,Casual Belt,,Mobile,P119,Casual Belt,Accessories,Chennai,5053,229,94,12,7104,1644.79,4.32,4.08,541.0,,,
2025-11-22,search,Search - Generic,Search Ads,buy sunglasses,Tablet,,,,Delhi,9353,563,0,8,18568,1080.96,17.18,,,1.92,115.57,3.0
2025-11-11,search,Search - Generic,Search Ads,buy thermal jacket,Tablet,,,,Chennai,9724,453,0,4,11492,892.41,12.88,,,1.97,91.77,3.0
2025-11-12,shopping,Shopping - Bags,Office Backpack,,Tablet,P112,Office Backpack,Bags,Mumbai,3303,52,68,3,6831,1031.99,6.62,3.5,384.0,,,
2025-11-25,search,Search - Generic,Search Ads,buy phone case,Desktop,,,,Mumbai,1563,20,0,0,0,5.0,0.0,,,0.25,3.2,3.0
2025-11-11,shopping,Shopping - Apparel,Thermal Socks,,Desktop,P116,Thermal Socks,Apparel,Chennai,5150,178,83,0,0,1266.62,0.0,4.2,39.0,,,
2025-11-09,search,Search - Generic,Search Ads,buy bluetooth headset,Desktop,,,,Mumbai,2428,88,0,0,0,46.64,0.0,,,0.53,19.21,7.0
2025-11-27,search,Search - Generic,Search Ads,buy phone case,Desktop,,,,Delhi,5793,249,0,11,20999,214.14,98.06,,,0.86,36.97,7.0
2025-11-17,shopping,Shopping - Accessories,Casual Belt,,Mobile,P119,Casual Belt,Accessories,Bangalore,5316,82,97,1,931,1774.13,0.52,3.24,133.0,,,
2025-11-18,search,Search - Generic,Search Ads,buy stylish jacket,Desktop,,,,Mumbai,10293,479,0,0,0,330.51,0.0,,,0.69,32.11,6.0
2025-11-30,search,Search - Generic,Search Ads,buy thermal socks,Mobile,,,,Hyderabad,14003,406,0,4,6480,81.2,79.8,,,0.2,5.8,9.0
2025-11-05,search,Search - Generic,Search Ads,buy travel backpack,Desktop,,,,Mumbai,4950,130,0,0,0,127.4,0.0,,,0.98,25.74,3.0
2025-11-21,shopping,Shopping - Apparel,Cotton T-Shirt,,Tablet,P100,Cotton T-Shirt,Apparel,Delhi,4492,98,121,1,613,2073.26,0.3,3.71,299.0,,,
2025-11-25,shopping,Shopping - Footwear,Running Shoes,,Desktop,P101,Running Shoes,Footwear,Delhi,611,22,6,0,0,238.46,0.0,4.77,132.0,,,
2025-12-02,search,Search - Generic,Search Ads,buy baby clothes,Mobile,,,,Chennai,2745,90,0,1,1373,45.9,29.91,,,0.51,16.72,9.0
2025-11-24,shopping,Shopping - Bags,Office Backpack,,Desktop,P112,Office Backpack,Bags,Bangalore,3817,153,24,9,15597,1053.83,14.8,3.31,398.0,,,
2025-11-26,shopping,Shopping - Electronics,Bluetooth Headset,,Desktop,P110,Bluetooth Headset,Electronics,Chennai,2502,129,53,3,12054,147.6,81.67,3.32,316.0,,,
2025-11-23,shopping,Shopping - Accessories,Laptop Sleeve,,Desktop,P118,Laptop Sleeve,Accessories,Delhi,5736,174,157,5,3570,118.35,30.16,4.46,394.0,,,
2025-11-16,search,Search - Generic,Search Ads,buy running gear,Tablet,,,,Delhi,9540,191,0,2,1700,80.22,21.19,,,0.42,8.41,5.0
2025-11-09,search,Search - Generic,Search Ads,buy women's jackets,Tablet,,,,Chennai,9702,512,0,0,0,1059.84,0.0,,,2.07,109.24,9.0
2025-11-04,search,Search - Generic,Search Ads,buy leather boots,Tablet,,,,Mumbai,294,6,0,0,0,5.94,0.0,,,0.99,20.2,8.0
2025-12-01,search,Search - Generic,Search Ads,buy baby jacket,Tablet,,,,Mumbai,2079,53,0,0,0,108.12,0.0,,,2.04,52.01,7.0
2025-11-18,search,Search - Generic,Search Ads,buy kids jackets,Mobile,,,,Chennai,9359,311,0,17,36771,391.86,93.84,,,1.26,41.87,6.0
2025-11-28,shopping,Shopping - Apparel,Hooded Sweatshirt,,Tablet,P113,Hooded Sweatshirt,Apparel,Chennai,7844,292,0,10,8580,3302.69,2.6,3.3,410.0,,,
2025-11-08,search,Search - Generic,Search Ads,buy running shoes,Desktop,,,,Bangalore,14818,614,0,19,30609,300.86,101.74,,,0.49,20.3,8.0
2025-11-19,search,Search - Generic,Search Ads,buy yoga pants,Tablet,,,,Mumbai,10014,456,0,13,34411,775.2,44.39,,,1.7,77.41,7.0
2025-11-08,search,Search - Generic,Search Ads,buy leather boots,Tablet,,,,Bangalore,7732,157,0,3,10101,237.07,42.61,,,1.51,30.66,9.0
2025-11-21,search,Search - Generic,Search Ads,buy women's jackets,Tablet,,,,Hyderabad,893,30,0,0,0,24.0,0.0,,,0.8,26.88,8.0
2025-12-01,search,Search - Generic,Search Ads,buy water bottle,Tablet,,,,Delhi,6626,432,0,21,40887,103.68,394.36,,,0.24,15.65,8.0
2025-11-04,search,Search - Generic,Search Ads,buy thermal jacket,Desktop,,,,Bangalore,3333,82,0,2,4660,126.28,36.9,,,1.54,37.89,7.0
2025-11-21,shopping,Shopping - Accessories,Sunglasses,,Desktop,P108,Sunglasses,Accessories,Bangalore,5852,89,58,0,0,671.04,0.0,3.33,719.0,,,
2025-11-12,shopping,Shopping - Apparel,Thermal Socks,,Desktop,P116,Thermal Socks,Apparel,Delhi,2853,99,64,4,3072,1318.3,2.33,4.32,466.0,,,
2025-11-22,shopping,Shopping - Footwear,Leather Boots,,Tablet,P106,Leather Boots,Footwear,Hyderabad,1413,35,24,0,0,182.62,0.0,4.05,26.0,,,
2025-12-01,shopping,Shopping - Apparel,Yoga Pants,,Mobile,P105,Yoga Pants,Apparel,Mumbai,5582,67,163,3,1458,731.35,1.99,4.8,566.0,,,
2025-11-12,search,Search - Generic,Search Ads,buy thermal jacket,Mobile,,,,Mumbai,3290,167,0,0,0,263.86,0.0,,,1.58,80.2,3.0
2025-12-01,search,Search - Generic,Search Ads,buy running shoes,Tablet,,,,Bangalore,11452,453,0,17,8092,172.14,47.01,,,0.38,15.03,7.0
2025-12-02,search,Search - Generic,Search Ads,buy yoga pants,Mobile,,,,Bangalore,11648,82,0,1,593,176.3,3.36,,,2.15,15.14,9.0
2025-11-09,shopping,Shopping - Bags,Travel Backpack,,Mobile,P104,Travel Backpack,Bags,Chennai,5046,163,62,6,5658,1965.51,2.88,4.16,147.0,,,
2025-11-22,search,Search - Generic,Search Ads,buy office backpack,Desktop,,,,Mumbai,11278,468,0,16,18816,945.36,19.9,,,2.02,83.82,3.0
2025-11-30,search,Search - Generic,Search Ads,buy yoga pants,Mobile,,,,Mumbai,2382,156,0,4,12564,266.76,47.1,,,1.71,111.99,3.0
2025-11-24,shopping,Shopping - Accessories,Laptop Sleeve,,Desktop,P118,Laptop Sleeve,Accessories,Delhi,2595,69,33,1,368,1044.95,0.35,4.4,129.0,,,
2025-11-06,search,Search - Generic,Search Ads,buy baby jacket,Mobile,,,,Chennai,6149,100,0,2,3582,187.0,19.16,,,1.87,30.41,8.0
2025-11-29,shopping,Shopping - Electronics,Fitness Tracker,,Tablet,P117,Fitness Tracker,Electronics,Bangalore,5688,100,144,6,15348,730.9,21.0,3.79,260.0,,,
2025-11-22,shopping,Shopping - Apparel,Cotton T-Shirt,,Tablet,P100,Cotton T-Shirt,Apparel,Mumbai,8685,309,80,15,11595,2952.4,3.93,3.85,328.0,,,
2025-11-05,shopping,Shopping - Accessories,Sunglasses,,Tablet,P108,Sunglasses,Accessories,Bangalore,7466,208,180,0,0,2176.94,0.0,4.61,124.0,,,
2025-11-26,search,Search - Generic,Search Ads,buy summer shorts,Desktop,,,,Bangalore,1744,22,0,0,0,41.8,0.0,,,1.9,23.97,9.0
2025-11-06,search,Search - Generic,Search Ads,buy yoga pants,Tablet,,,,Hyderabad,2841,93,0,1,2883,55.8,51.67,,,0.6,19.64,7.0
2025-11-07,search,Search - Generic,Search Ads,buy phone case,Mobile,,,,Mumbai,3580,181,0,1,3350,45.25,74.03,,,0.25,12.64,3.0
2025-11-05,search,Search - Generic,Search Ads,buy thermal socks,Mobile,,,,Chennai,10207,124,0,1,1077,140.12,7.69,,,1.13,13.73,3.0
2025-11-30,search,Search - Generic,Search Ads,buy toddler jacket,Mobile,,,,Delhi,11122,414,0,0,0,691.38,0.0,,,1.67,62.16,7.0
2025-11-19,shopping,Shopping - Apparel,Thermal Socks,,Tablet,P116,Thermal Socks,Apparel,Mumbai,3001,133,36,5,2305,215.73,10.68,4.31,119.0,,,
2025-11-10,shopping,Shopping - Electronics,Bluetooth Headset,,Mobile,P110,Bluetooth Headset,Electronics,Chennai,6989,289,58,6,23724,1622.18,14.62,3.33,653.0,,,
2025-11-21,search,Search - Generic,Search Ads,buy headphones,Tablet,,,,Mumbai,9270,138,0,0,0,52.44,0.0,,,0.38,5.66,7.0
2025-11-05,search,Search - Generic,Search Ads,buy laptop sleeve,Mobile,,,,Mumbai,1614,70,0,1,2524,163.1,15.48,,,2.33,101.05,3.0
2025-11-14,shopping,Shopping - Bags,Office Backpack,,Desktop,P112,Office Backpack,Bags,Delhi,1118,43,20,1,1933,268.86,7.19,3.54,793.0,,,
2025-11-20,search,Search - Generic,Search Ads,buy stylish jacket,Tablet,,,,Chennai,529,13,0,0,0,10.4,0.0,,,0.8,19.66,7.0
2025-11-08,shopping,Shopping - Bags,Travel Backpack,,Mobile,P104,Travel Backpack,Bags,Bangalore,2998,44,25,1,432,965.6,0.45,4.01,76.0,,,
2025-11-27,shopping,Shopping - Home,Water Bottle,,Mobile,P111,Water Bottle,Home,Bangalore,6712,130,19,1,1372,141.47,9.7,3.81,692.0,,,
2025-11-19,search,Search - Generic,Search Ads,buy light jacket,Mobile,,,,Hyderabad,11966,493,0,8,19976,1217.71,16.4,,,2.47,101.76,3.0
2025-11-27,search,Search - Generic,Search Ads,buy baby jacket,Desktop,,,,Delhi,5661,5,0,0,0,5.95,0.0,,,1.19,1.05,8.0
2025-11-23,shopping,Shopping - Electronics,Noise Cancelling Headphones,,Mobile,P115,Noise Cancelling Headphones,Electronics,Hyderabad,7776,206,143,0,0,740.65,0.0,3.53,148.0,,,
2025-11-16,search,Search - Generic,Search Ads,buy thermal jacket,Mobile,,,,Mumbai,9781,442,0,5,16560,397.8,41.63,,,0.9,40.67,7.0
2025-11-04,shopping,Shopping - Footwear,Leather Boots,,Mobile,P106,Leather Boots,Footwear,Chennai,1017,44,19,0,0,221.72,0.0,3.85,600.0,,,
2025-11-05,search,Search - Generic,Search Ads,buy winter gloves,Desktop,,,,Hyderabad,10868,661,0,8,3688,1110.48,3.32,,,1.68,102.18,6.0
2025-11-16,search,Search - Generic,Search Ads,buy baby clothes,Desktop,,,,Bangalore,10807,309,0,9,16659,537.66,30.98,,,1.74,49.75,3.0
2025-11-27,shopping,Shopping - Apparel,Cotton T-Shirt,,Desktop,P100,Cotton T-Shirt,Apparel,Mumbai,3419,64,96,2,920,240.37,3.83,4.89,528.0,,,
2025-11-07,search,Search - Generic,Search Ads,buy puffer jacket,Tablet,,,,Delhi,4503,242,0,5,14205,200.86,70.72,,,0.83,44.61,8.0
2025-11-05,search,Search - Generic,Search Ads,buy yoga pants,Desktop,,,,Mumbai,10013,93,0,0,0,137.64,0.0,,,1.48,13.75,8.0
2025-11-08,search,Search - Generic,Search Ads,buy rucksack,Desktop,,,,Mumbai,14831,501,0,5,5660,205.41,27.55,,,0.41,13.85,6.0
2025-11-13,search,Search - Generic,Search Ads,buy water bottle,Mobile,,,,Bangalore,1850,56,0,0,0,16.8,0.0,,,0.3,9.08,3.0
2025-11-27,shopping,Shopping - Footwear,Running Shoes,,Mobile,P101,Running Shoes,Footwear,Bangalore,1866,49,10,1,2318,724.2,3.2,4.28,724.0,,,
2025-11-19,search,Search - Generic,Search Ads,buy laptop sleeve,Mobile,,,,Delhi,2861,94,0,3,9381,63.92,146.76,,,0.68,22.34,3.0
2025-11-12,search,Search - Generic,Search Ads,buy thermal jacket,Tablet,,,,Mumbai,9136,299,0,0,0,562.12,0.0,,,1.88,61.53,8.0
2025-11-09,search,Search - Generic,Search Ads,buy hoodie,Desktop,,,,Hyderabad,8871,501,0,21,79926,345.69,231.21,,,0.69,38.97,9.0
2025-11-19,shopping,Shopping - Apparel,Hooded Sweatshirt,,Desktop,P113,Hooded Sweatshirt,Apparel,Bangalore,3812,155,106,0,0,953.68,0.0,3.38,712.0,,,
2025-11-28,shopping,Shopping - Apparel,Yoga Pants,,Tablet,P105,Yoga Pants,Apparel,Delhi,3253,123,53,6,5844,452.59,12.91,4.88,715.0,,,
2025-11-30,shopping,Shopping - Apparel,Yoga Pants,,Tablet,P105,Yoga Pants,Apparel,Chennai,1296,30,31,2,864,223.12,3.87,4.82,62.0,,,
2025-11-14,search,Search - Generic,Search Ads,buy sunglasses,Desktop,,,,Delhi,10634,317,0,0,0,345.53,0.0,,,1.09,32.49,7.0
2025-11-30,search,Search - Generic,Search Ads,buy kids jackets,Desktop,,,,Mumbai,6115,205,0,2,6408,221.4,28.94,,,1.08,36.21,5.0
2025-11-20,search,Search - Generic,Search Ads,buy office backpack,Mobile,,,,Delhi,9562,204,0,3,4059,281.52,14.42,,,1.38,29.44,8.0
2025-11-26,shopping,Shopping - Bags,Travel Backpack,,Mobile,P104,Travel Backpack,Bags,Mumbai,1979,58,52,2,1948,773.87,2.52,4.74,505.0,,,
2025-11-21,search,Search - Generic,Search Ads,buy thermal socks,Desktop,,,,Bangalore,897,12,0,0,0,7.08,0.0,,,0.59,7.89,7.0
2025-11-22,shopping,Shopping - Accessories,Smartphone Case,,Mobile,P107,Smartphone Case,Accessories,Chennai,8835,64,40,2,3432,4162.0,0.82,4.73,266.0,,,
2025-11-29,search,Search - Generic,Search Ads,buy t shirt,Mobile,,,,Mumbai,3677,101,0,1,2142,217.15,9.86,,,2.15,59.06,6.0
2025-11-16,search,Search - Generic,Search Ads,buy wireless earbuds,Desktop,,,,Hyderabad,14552,663,0,2,4712,1604.46,2.94,,,2.42,110.26,7.0
2025-12-02,shopping,Shopping - Apparel,Yoga Pants,,Tablet,P105,Yoga Pants,Apparel,Hyderabad,1800,34,46,0,0,849.73,0.0,4.54,36.0,,,
2025-11-17,search,Search - Generic,Search Ads,buy kids jackets,Mobile,,,,Chennai,7019,261,0,3,5271,561.15,9.39,,,2.15,79.95,9.0
2025-11-20,shopping,Shopping - Apparel,Yoga Pants,,Tablet,P105,Yoga Pants,Apparel,Delhi,4317,161,97,3,3372,1573.59,2.14,3.67,697.0,,,
2025-11-28,search,Search - Generic,Search Ads,buy men's jackets,Desktop,,,,Chennai,10507,171,0,0,0,42.75,0.0,,,0.25,4.07,4.0
2025-11-21,search,Search - Generic,Search Ads,buy headphones,Desktop,,,,Delhi,534,27,0,0,0,21.06,0.0,,,0.78,39.44,3.0
2025-11-26,shopping,Shopping - Accessories,Casual Belt,,Tablet,P119,Casual Belt,Accessories,Delhi,7475,182,121,7,6979,3620.06,1.93,4.1,584.0,,,
2025-11-06,search,Search - Generic,Search Ads,buy light jacket,Tablet,,,,Delhi,8934,234,0,3,10389,53.82,193.03,,,0.23,6.02,5.0
2025-11-30,search,Search - Generic,Search Ads,buy smartwatch,Mobile,,,,Hyderabad,4233,77,0,2,5416,152.46,35.52,,,1.98,36.02,3.0
2025-11-16,shopping,Shopping - Electronics,Fitness Tracker,,Mobile,P117,Fitness Tracker,Electronics,Mumbai,653,6,6,0,0,282.65,0.0,3.72,131.0,,,
2025-11-10,search,Search - Generic,Search Ads,buy sports shoes,Tablet,,,,Bangalore,10190,324,0,11,38313,651.24,58.83,,,2.01,63.91,8.0
2025-11-09,search,Search - Generic,Search Ads,buy summer shorts,Desktop,,,,Mumbai,11705,381,0,10,24290,110.49,219.84,,,0.29,9.44,9.0
2025-11-30,search,Search - Generic,Search Ads,buy kids sneakers,Desktop,,,,Bangalore,2671,94,0,2,3378,49.82,67.8,,,0.53,18.65,3.0
2025-11-04,search,Search - Generic,Search Ads,buy gym bag,Tablet,,,,Chennai,11314,277,0,5,11520,132.96,86.64,,,0.48,11.75,9.0
2025-11-22,search,Search - Generic,Search Ads,buy running gear,Desktop,,,,Delhi,14377,791,0,28,78316,450.87,173.7,,,0.57,31.36,8.0
2025-11-22,search,Search - Generic,Search Ads,buy light jacket,Tablet,,,,Bangalore,11430,11,0,0,0,9.79,0.0,,,0.89,0.86,3.0
2025-11-04,search,Search - Generic,Search Ads,buy thermal socks,Tablet,,,,Hyderabad,5028,99,0,2,4080,145.53,28.04,,,1.47,28.94,9.0
2025-11-18,search,Search - Generic,Search Ads,buy smartwatch,Mobile,,,,Delhi,6967,189,0,7,23429,446.04,52.53,,,2.36,64.02,8.0
2025-11-17,search,Search - Generic,Search Ads,buy men's jackets,Tablet,,,,Bangalore,6833,314,0,10,13470,486.7,27.68,,,1.55,71.23,5.0
2025-11-30,search,Search - Generic,Search Ads,buy fitness tracker,Mobile,,,,Mumbai,12542,218,0,11,40865,418.56,97.63,,,1.92,33.37,7.0
2025-12-03,search,Search - Generic,Search Ads,buy fitness tracker,Tablet,,,,Chennai,11437,114,0,1,3285,108.3,30.33,,,0.95,9.47,3.0
2025-11-21,shopping,Shopping - Accessories,Sunglasses,,Tablet,P108,Sunglasses,Accessories,Mumbai,3201,88,36,2,2344,1300.65,1.8,3.79,350.0,,,
2025-11-10,search,Search - Generic,Search Ads,buy fitness tracker,Tablet,,,,Bangalore,7741,322,0,14,34244,77.28,443.12,,,0.24,9.98,4.0
2025-11-12,shopping,Shopping - Bags,Office Backpack,,Tablet,P112,Office Backpack,Bags,Bangalore,7447,282,132,8,10008,2510.09,3.99,3.93,466.0,,,
2025-11-14,search,Search - Generic,Search Ads,buy fitness tracker,Tablet,,,,Bangalore,10017,363,0,6,15366,755.04,20.35,,,2.08,75.38,9.0
2025-11-06,search,Search - Generic,Search Ads,buy baby jacket,Desktop,,,,Delhi,3199,119,0,2,5324,104.72,50.84,,,0.88,32.74,4.0
2025-11-09,search,Search - Generic,Search Ads,buy hoodie,Desktop,,,,Chennai,7316,412,0,10,25250,712.76,35.43,,,1.73,97.42,6.0
2025-12-02,search,Search - Generic,Search Ads,buy digital watch,Tablet,,,,Bangalore,1199,54,0,1,968,107.46,9.01,,,1.99,89.62,9.0
2025-11-13,shopping,Shopping - Electronics,Bluetooth Headset,,Desktop,P110,Bluetooth Headset,Electronics,Delhi,1117,52,21,0,0,113.92,0.0,4.15,279.0,,,
2025-11-16,search,Search - Generic,Search Ads,buy light jacket,Tablet,,,,Delhi,9691,273,0,3,9522,354.9,26.83,,,1.3,36.62,3.0
2025-11-06,search,Search - Generic,Search Ads,buy outdoor backpack,Desktop,,,,Hyderabad,8570,111,0,4,8208,160.95,51.0,,,1.45,18.78,6.0
2025-11-11,shopping,Shopping - Kidswear,Baby Jacket,,Desktop,P103,Baby Jacket,Kidswear,Bangalore,885,38,12,1,1772,347.29,5.1,3.64,766.0,,,
2025-11-04,search,Search - Generic,Search Ads,buy winter gloves,Mobile,,,,Delhi,3629,24,0,0,0,50.64,0.0,,,2.11,13.95,5.0
2025-11-09,search,Search - Generic,Search Ads,buy men's jackets,Desktop,,,,Bangalore,7028,92,0,0,0,56.12,0.0,,,0.61,7.99,5.0
2025-11-22,shopping,Shopping - Bags,Office Backpack,,Desktop,P112,Office Backpack,Bags,Mumbai,9168,270,116,0,0,4441.82,0.0,4.33,715.0,,,
2025-12-03,shopping,Shopping - Electronics,Noise Cancelling Headphones,,Mobile,P115,Noise Cancelling Headphones,Electronics,Bangalore,6022,216,121,7,52997,1618.44,32.75,4.52,551.0,,,
2025-11-30,search,Search - Generic,Search Ads,buy headphones,Desktop,,,,Delhi,13113,422,0,12,22416,557.04,40.24,,,1.32,42.48,5.0
2025-11-09,search,Search - Generic,Search Ads,buy smartwatch,Desktop,,,,Hyderabad,10702,201,0,8,9128,307.53,29.68,,,1.53,28.74,4.0
2025-11-13,search,Search - Generic,Search Ads,buy sports hoodie,Tablet,,,,Mumbai,1156,38,0,0,0,71.44,0.0,,,1.88,61.8,7.0
2025-11-11,search,Search - Generic,Search Ads,buy gym bag,Tablet,,,,Mumbai,8835,280,0,11,20735,95.2,217.8,,,0.34,10.78,5.0
2025-12-02,shopping,Shopping - Footwear,Kids Sneakers,,Tablet,P114,Kids Sneakers,Footwear,Bangalore,702,17,5,0,0,221.59,0.0,3.39,17.0,,,
2025-11-13,search,Search - Generic,Search Ads,buy thermal socks,Tablet,,,,Bangalore,6355,81,0,0,0,144.99,0.0,,,1.79,22.82,9.0
2025-11-29,search,Search - Generic,Search Ads,buy toddler jacket,Tablet,,,,Hyderabad,3970,157,0,4,15472,375.23,41.23,,,2.39,94.52,7.0
2025-12-02,search,Search - Generic,Search Ads,buy thermal socks,Mobile,,,,Delhi,10015,338,0,12,23004,567.84,40.51,,,1.68,56.7,5.0
2025-11-19,search,Search - Generic,Search Ads,buy digital watch,Mobile,,,,Mumbai,8029,409,0,4,3248,756.65,4.29,,,1.85,94.24,9.0
2025-11-26,search,Search - Generic,Search Ads,buy t shirt,Tablet,,,,Bangalore,5736,224,0,6,22824,176.96,128.98,,,0.79,30.85,5.0
2025-11-12,search,Search - Generic,Search Ads,buy laptop sleeve,Mobile,,,,Bangalore,10395,376,0,3,5025,312.08,16.1,,,0.83,30.02,5.0
2025-11-23,search,Search - Generic,Search Ads,buy t shirt,Tablet,,,,Chennai,3795,140,0,3,5949,74.2,80.18,,,0.53,19.55,6.0
2025-11-10,search,Search - Generic,Search Ads,buy rucksack,Tablet,,,,Hyderabad,9313,366,0,14,5782,102.48,56.42,,,0.28,11.0,5.0
